Company,Flight number,Dead,Survivors
Aero Caribbean,883,68,0
Qantas,32,0,469
JS Air,201,21,0
Sun Way,4412,12,0
Dagestan Airlines,372,2,158
Transaereo,5074,6,0
SCAT Airlines,760,21,0
South Airlines,8971,5,47
Lion Air,904,0,108
National Airlines,102,7,0
Nepal Airlines,555,0,7
Merpati Nusantara Airlines,6517,0,5
Polar Airlines,9949,24,4
Asiana Airlines,214,3,304
Southwest Airlines,345,0,141
UPS Airlines,1354,2,0
Associated Aviation,361,16,4
MASwings,3002,2,14
Lao Airlines,301,49,0
Aerocon,25,8,10
Bearskin Airlines,311,5,2
Tatarstan Airlines,363,50,0
LAM Mozambique Airlines,470,33,0
IBC Airways,405,2,0
Nepal Airlines,183,18,0
Ethiopian Airlines,702,0,202
Malaysia Airlines,370,239,0
Pakistan International Airlines,756,1,189
Malaysia Airlines,17,298,0
TransAsia Airways,222,48,10
Air Algérie,5017,116,0
Sepahan Airlines,5915,40,8
SkyWay Enterprises,7101,2,0
Loganair,6780,0,33
Indonesia AirAsia,8501,162,0
Olimp Air,4653,6,1
TransAsia Airways,235,43,15
Germanwings,9525,150,0
Air Canada,624,0,138
Carson Air,66,2,0
Asiana Airlines,162,0,82
Trigana Air Service,267,54,0
British Airways,2276,0,170
Aviastar,7503,10,0
Dynamic Airways,405,0,101
Metrojet,9268,224,0
Execuflight,1526,9,0
Avia Traffic Company,768,0,14
Pegasus Airlines,8622,0,168
Saratov Airlines,703,71,0
United Airlines,1175,0,373
Iran Aseman Airlines,3704,66,0
US-Bangla Airlines,211,51,20
Southwest Airlines,1380,1,184
Sichuan Airlines,8633,0,128
Cubana de Aviación,972,112,1
Fly-SAX,102,10,0
Air Vanuatu,241,0,30
Aeroméxico Connect,2431,0,103
Xiamen Airlines,8667,0,165
UTair,579,1,174
Air Niugini,73,1,45
Lion Air,610,189,0
Sky Lease Cargo,4854,0,3
Fly Jamaica Airways,256,1,160
Air Astana,1388,0,90
Saha Airlines,707,15,1
Atlas Air,3591,3,0
United Express,4933,0,3
Laser Aéreo,DC-3,14,0
Ethiopian Airlines,302,157,0
Miami Air International,293,0,143
Aeroflot,1492,41,37
Biman Bangladesh Airlines,060,0,33
Angara Airlines,200,2,43
Ural Airlines,178,0,233
PenAir,3296,1,41
Busy Bee,Do 228,27,0
Bek Air,2100,13,85





